"nombres","apellidos","numero.lista","corporacion","partido","genero","nacimiento","tiempo.congreso","La.eutanasia","El.sexo.antes.del.matrimonio","El.matrimonio.homosexual","El.divorcio","El.consumo.de.marihuana","El.aborto","Estatuto.de.la.Ciudadanía.Juvenil","Justicia.Penal.Militar..Fuero.Militar","Reforma.a.la.Justicia.Ejecutivo","Implementación.del.TLC.con.Estados.Unidos..Ley.Lleras.2.0","Ley.estatutaria.de.reforma.a.la.salud"
"Fredy","Lopez Diaz","103","Representante a la Cámara","Opción Ciudadana","",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Sandra Yaneth","Lopez Dueñas","105","Representante a la Cámara","Cambio Radical","F",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Heyde","Lopez Duran","84","Senador de la República","Conservador Colombiano","",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Inés Cecilia","López Flórez","105","Representante a la Cámara","Conservador Colombiano","",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Mabel del Socorro","Lopez Garcia","108","Representante a la Cámara","Cambio Radical","F",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Álvaro","López Gil","106","Representante a la Cámara","Conservador Colombiano","M",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Luis Alberto ","Lopez Gonzalez","36","Senador de la República","Conservador Colombiano","",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Gabriel Antonio","López Guzmán","42","Senador de la República","Cambio Radical","",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Antonio","López Herazo","4","Senador de la República","Alianza Verde","",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Miguel Angel ","Lopez Hernández","101","Representante a la Cámara","Union Patriotica - Up","",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Claudia Nayibe","López Hernández","10","Senador de la República","Alianza Verde","F",1970,0,"agree","agree","agree","agree","","agree",NA,NA,NA,NA,NA
"Alvaro Eduardo ","Lopez Herrera","102","Representante a la Cámara","Centro Democrático","",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Mónica Liliana","López Lizcano","104","Representante a la Cámara","Polo Democrático Alternativo","",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Leocadio de Jesús","López Martinez","117","Representante a la Cámara","Polo Democrático Alternativo","",NA,0,"","","","","","",NA,NA,NA,NA,NA
"Alexander","López Maya","2","Senador de la República","Polo Democrático Alternativo","M",NA,12,"","","","","","","","disagree","disagree","",""
